term	coefficient	std_error	z	p_value	ci_lower	ci_upper
C(biased_category)[T.white]:C(threshold)[T.0.8]	-0.0010404100402390518	0.003528760038113021	-0.2948372881697571	0.7681181800635747	-0.007956652625024761	0.005875832544546658
C(biased_category)[T.asian]:C(threshold)[T.0.85]	0.0014735581528945141	0.0035287600381130138	0.4175852528874397	0.6762503807875619	-0.0054426844318911805	0.00838980073768021
C(biased_category)[T.black]:C(threshold)[T.0.85]	-0.0005517953631042725	0.0035287600381130107	-0.15637089434943346	0.8757406778780737	-0.007468037947889962	0.006364447221681418
C(biased_category)[T.female]:C(threshold)[T.0.85]	-0.0007610155202224725	0.0035287600381130263	-0.21566088711133186	0.8292520913069491	-0.007677258105008192	0.006155227064563248
C(biased_category)[T.hispanic]:C(threshold)[T.0.85]	0.0010552059781482653	0.003528760038113029	0.29903024483141866	0.7649169687271196	-0.00586103660663746	0.00797144856293399
C(biased_category)[T.homeless]:C(threshold)[T.0.85]	-0.0006548994060242615	0.003528760038113018	-0.18558910182355862	0.8527670005749483	-0.007571141990809965	0.006261343178761442
C(biased_category)[T.immigrant]:C(threshold)[T.0.85]	-0.00020761831769480912	0.0035287600381130138	-0.058836054436229655	0.9530826909023563	-0.0071238609024805045	0.006708624267090886
C(biased_category)[T.low-income]:C(threshold)[T.0.85]	0.00023066871047305453	0.003528760038113022	0.0653682052567119	0.9478808384478788	-0.006685573874312657	0.007146911295258766
C(biased_category)[T.wealthy]:C(threshold)[T.0.85]	0.0007866832726496653	0.0035287600381130268	0.22293476012903876	0.8235862824230189	-0.006129559312136056	0.007702925857435386
C(biased_category)[T.white]:C(threshold)[T.0.85]	-0.0010690017244763172	0.003528760038113022	-0.3029397615395684	0.761935768904772	-0.007985244309262028	0.005847240860309394
C(biased_category)[T.asian]:C(threshold)[T.0.9]	0.0004929450086023207	0.003528760038113013	0.13969354767062048	0.8889021246309508	-0.006423297576183372	0.007409187593388014
C(biased_category)[T.black]:C(threshold)[T.0.9]	-0.0018812492814910817	0.0035287600381130107	-0.5331190733210275	0.593951156702468	-0.008797491866276772	0.005034993303294608
C(biased_category)[T.female]:C(threshold)[T.0.9]	-0.002218493964380596	0.0035287600381130263	-0.6286893810911881	0.529552431425713	-0.009134736549166316	0.004697748620405125
C(biased_category)[T.hispanic]:C(threshold)[T.0.9]	0.0012775627514647896	0.0035287600381130285	0.36204296627320526	0.7173199227906859	-0.005638679833320935	0.008193805336250514
C(biased_category)[T.homeless]:C(threshold)[T.0.9]	-0.002232860701303169	0.003528760038113017	-0.6327607083470538	0.5268899188778936	-0.00914910328608887	0.004683381883482532
C(biased_category)[T.immigrant]:C(threshold)[T.0.9]	-0.0010154972217112635	0.0035287600381130133	-0.28777735259501963	0.7735171743632874	-0.007931739806496958	0.0059007453630744305
C(biased_category)[T.low-income]:C(threshold)[T.0.9]	-0.000940398543801787	0.003528760038113021	-0.2664954640283952	0.7898576523220681	-0.007856641128587498	0.005975844040983923
C(biased_category)[T.wealthy]:C(threshold)[T.0.9]	0.0001516114197925492	0.0035287600381130263	0.04296450258873995	0.9657298305406445	-0.006764631164993171	0.007067854004578269
C(biased_category)[T.white]:C(threshold)[T.0.9]	-0.0020000728109028807	0.003528760038113021	-0.5667919578834284	0.5708555350899447	-0.00891631539568859	0.004916169773882829
